,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
0,198,Donald,OConnell,DOCONNEL,650.507.9833,06/21/2007,SH_CLERK,2600, - ,124,50
1,199,Douglas,Grant,DGRANT,650.507.9844,01/13/2008,SH_CLERK,2600, - ,124,50
2,200,Jennifer,Whalen,JWHALEN,515.123.4444,09/17/2003,AD_ASST,4400, - ,101,10
3,201,Michael,Hartstein,MHARTSTE,515.123.5555,02/17/2004,MK_MAN,13000, - ,100,20
4,202,Pat,Fay,PFAY,603.123.6666,08/17/2005,MK_REP,6000, - ,201,20
5,203,Susan,Mavris,SMAVRIS,515.123.7777,06/07/2002,HR_REP,6500, - ,101,40
6,204,Hermann,Baer,HBAER,515.123.8888,06/07/2002,PR_REP,10000, - ,101,70
7,205,Shelley,Higgins,SHIGGINS,515.123.8080,06/07/2002,AC_MGR,12008, - ,101,110
8,206,William,Gietz,WGIETZ,515.123.8181,06/07/2002,AC_ACCOUNT,8300, - ,205,110
9,100,Steven,King,SKING,515.123.4567,06/17/2003,AD_PRES,24000, - , - ,90
10,101,Neena,Kochhar,NKOCHHAR,515.123.4568,09/21/2005,AD_VP,17000, - ,100,90
11,102,Lex,De Haan,LDEHAAN,515.123.4569,01/13/2001,AD_VP,17000, - ,100,90
12,103,Alexander,Hunold,AHUNOLD,590.423.4567,01/03/2006,IT_PROG,9000, - ,102,60
13,104,Bruce,Ernst,BERNST,590.423.4568,05/21/2007,IT_PROG,6000, - ,103,60
14,105,David,Austin,DAUSTIN,590.423.4569,06/25/2005,IT_PROG,4800, - ,103,60
15,106,Valli,Pataballa,VPATABAL,590.423.4560,02/05/2006,IT_PROG,4800, - ,103,60
16,107,Diana,Lorentz,DLORENTZ,590.423.5567,02/07/2007,IT_PROG,4200, - ,103,60
17,108,Nancy,Greenberg,NGREENBE,515.124.4569,08/17/2002,FI_MGR,12008, - ,101,100
18,109,Daniel,Faviet,DFAVIET,515.124.4169,08/16/2002,FI_ACCOUNT,9000, - ,108,100
19,110,John,Chen,JCHEN,515.124.4269,09/28/2005,FI_ACCOUNT,8200, - ,108,100
20,111,Ismael,Sciarra,ISCIARRA,515.124.4369,09/30/2005,FI_ACCOUNT,7700, - ,108,100
21,112,Jose Manuel,Urman,JMURMAN,515.124.4469,03/07/2006,FI_ACCOUNT,7800, - ,108,100
22,113,Luis,Popp,LPOPP,515.124.4567,12/07/2007,FI_ACCOUNT,6900, - ,108,100
23,114,Den,Raphaely,DRAPHEAL,515.127.4561,12/07/2002,PU_MAN,11000, - ,100,30
24,115,Alexander,Khoo,AKHOO,515.127.4562,05/18/2003,PU_CLERK,3100, - ,114,30
25,116,Shelli,Baida,SBAIDA,515.127.4563,12/24/2005,PU_CLERK,2900, - ,114,30
26,117,Sigal,Tobias,STOBIAS,515.127.4564,07/24/2005,PU_CLERK,2800, - ,114,30
27,118,Guy,Himuro,GHIMURO,515.127.4565,11/15/2006,PU_CLERK,2600, - ,114,30
28,119,Karen,Colmenares,KCOLMENA,515.127.4566,08/10/2007,PU_CLERK,2500, - ,114,30
29,120,Matthew,Weiss,MWEISS,650.123.1234,07/18/2004,ST_MAN,8000, - ,100,50
30,121,Adam,Fripp,AFRIPP,650.123.2234,04/10/2005,ST_MAN,8200, - ,100,50
31,122,Payam,Kaufling,PKAUFLIN,650.123.3234,05/01/2003,ST_MAN,7900, - ,100,50
32,123,Shanta,Vollman,SVOLLMAN,650.123.4234,10/10/2005,ST_MAN,6500, - ,100,50
33,124,Kevin,Mourgos,KMOURGOS,650.123.5234,11/16/2007,ST_MAN,5800, - ,100,50
34,125,Julia,Nayer,JNAYER,650.124.1214,07/16/2005,ST_CLERK,3200, - ,120,50
35,126,Irene,Mikkilineni,IMIKKILI,650.124.1224,09/28/2006,ST_CLERK,2700, - ,120,50
36,127,James,Landry,JLANDRY,650.124.1334,01/14/2007,ST_CLERK,2400, - ,120,50
37,128,Steven,Markle,SMARKLE,650.124.1434,03/08/2008,ST_CLERK,2200, - ,120,50
38,129,Laura,Bissot,LBISSOT,650.124.5234,08/20/2005,ST_CLERK,3300, - ,121,50
39,130,Mozhe,Atkinson,MATKINSO,650.124.6234,10/30/2005,ST_CLERK,2800, - ,121,50
40,131,James,Marlow,JAMRLOW,650.124.7234,02/16/2005,ST_CLERK,2500, - ,121,50
41,132,TJ,Olson,TJOLSON,650.124.8234,04/10/2007,ST_CLERK,2100, - ,121,50
42,133,Jason,Mallin,JMALLIN,650.127.1934,06/14/2004,ST_CLERK,3300, - ,122,50
43,134,Michael,Rogers,MROGERS,650.127.1834,08/26/2006,ST_CLERK,2900, - ,122,50
44,135,Ki,Gee,KGEE,650.127.1734,12/12/2007,ST_CLERK,2400, - ,122,50
45,136,Hazel,Philtanker,HPHILTAN,650.127.1634,02/06/2008,ST_CLERK,2200, - ,122,50
46,137,Renske,Ladwig,RLADWIG,650.121.1234,07/14/2003,ST_CLERK,3600, - ,123,50
47,138,Stephen,Stiles,SSTILES,650.121.2034,10/26/2005,ST_CLERK,3200, - ,123,50
48,139,John,Seo,JSEO,650.121.2019,02/12/2006,ST_CLERK,2700, - ,123,50
49,140,Joshua,Patel,JPATEL,650.121.1834,04/06/2006,ST_CLERK,2500, - ,123,50
